2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:17:08,623 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:17:08,624 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:17:08,726 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:17:08,841 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:17:10,850 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
ERROR 2017-03-30 11:17:10,851 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Forgotten Account Link is not enabled
 INFO 2017-03-30 11:17:52,478 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:17:52,638 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:17:52,639 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:17:52,794 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:17:53,091 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:17:53,092 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:17:53,196 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:17:53,293 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:19:43,598 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:46 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
ERROR 2017-03-30 11:19:47,201 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:50 - Forgotten Account Link is not enabled
 INFO 2017-03-30 11:21:17,882 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-03-30 11:21:18,049 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:22 - Asserting Forgotten Account Link
 INFO 2017-03-30 11:21:18,050 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-03-30 11:21:18,184 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-03-30 11:21:18,388 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-03-30 11:21:18,389 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-03-30 11:21:18,466 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-03-30 11:21:18,539 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
